name,image,description,category,rarity,classification,ac,damage,damage_type,properties,cost
Leather,,The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.,ARMOR,COMMON,Light Armor,11 + Dex,,,,1000
Padded,,Padded armor consists of quilted layers of cloth and batting.,ARMOR,COMMON,Light Armor,11 + Dex,,,,500
Studded Leather,,"Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes",ARMOR,COMMON,Light Armor,12 + Dex,,,,4500
Breastplate,,"This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered. ",ARMOR,COMMON,Medium Armor,14 + Dex,,,,40000
Chain Shirt,,"Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",ARMOR,COMMON,Medium Armor,13 + Dex,,,,5000
Half Plate,,Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ,ARMOR,COMMON,Medium Armor,15 + Dex,,,,75000
Hide,,"This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",ARMOR,COMMON,Medium Armor,12 + Dex,,,,1000
Scale mail,,"This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets. ",ARMOR,COMMON,Medium Armor,14 + Dex,,,,5000
Chain Mail,,"Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",ARMOR,COMMON,Heavy Armor,16,,,,7500
Plate,,"Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body. ",ARMOR,RARE,Heavy Armor,18,,,,150000
Ring Mail,,"This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor. ",ARMOR,COMMON,Heavy Armor,14,,,,3000
Splint,,This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.,ARMOR,UNCOMMON,Heavy Armor,17,,,,20000
Shield,,A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time. ,ARMOR,COMMON,Shield,+2,,,,1000
Club,,,WEAPON,COMMON,Simple Melee Weapon,,1d4,,light,10
Dagger,dagger,,WEAPON,COMMON,Simple Melee Weapon,,1d4,,finesse | light | thrown (range 20/60),200
Greatclub,,,WEAPON,COMMON,Simple Melee Weapon,,1d8,,two-handed,20
Handaxe,handaxe,,WEAPON,COMMON,Simple Melee Weapon,,1d6,,light | thrown (range 20/60),500
Javelin,javelin,,WEAPON,COMMON,Simple Melee Weapon,,1d6,,thrown (range 30/120),50
Light Hammer,hammer,,WEAPON,COMMON,Simple Melee Weapon,,1d4,,light | thrown (range 20/60),20
Mace,mace,,WEAPON,COMMON,Simple Melee Weapon,,1d6,,,500
Quarterstaff,quarterstaff,,WEAPON,COMMON,Simple Melee Weapon,,1d6,,versatile (1d8),20
Sickle,sickle,,WEAPON,COMMON,Simple Melee Weapon,,1d4,,light,100
Spear,,,WEAPON,COMMON,Simple Melee Weapon,,1d6,,thrown (range 20/60) | versatile (1d8),100
Light Crossbow,crossbow,,WEAPON,COMMON,Simple Ranged Weapons,,1d8,,ammunition (range 80/320) | loading | two-handed ,2500
Dart,,,WEAPON,COMMON,Simple Ranged Weapons,,1d4,,finesse | thrown (range 20/60),5
Shortbow,bow,,WEAPON,COMMON,Simple Ranged Weapons,,1d6,,ammunition (range 80/320) | two-handed ,2500
Sling,sling,,WEAPON,COMMON,Simple Ranged Weapons,,1d4,,ammunition (range 30/120),10
Battleaxe,greataxe,,WEAPON,COMMON,Martial Melee Weapons,,1d8,,versatile (1d10),1000
Flail,flail,,WEAPON,COMMON,Martial Melee Weapons,,1d8,,,1000
Glaive,glaive,,WEAPON,COMMON,Martial Melee Weapons,,1d10,,heavy | reach | two-handed,2000
Greataxe,greataxe,,WEAPON,COMMON,Martial Melee Weapons,,1d12,,heavy | two-handed,3000
Greatsword,,,WEAPON,COMMON,Martial Melee Weapons,,2d6,,heavy | two-handed,5000
Halberd,,,WEAPON,COMMON,Martial Melee Weapons,,1d10,,heavy | reach | two-handed,2000
Lance,,,WEAPON,COMMON,Martial Melee Weapons,,1d12,,reach | special,1000
Longsword,,,WEAPON,COMMON,Martial Melee Weapons,,1d8,,versatile (1d10),1500
Maul,,,WEAPON,COMMON,Martial Melee Weapons,,2d6,,heavy | two-handed,1000
Morningstar,,,WEAPON,COMMON,Martial Melee Weapons,,1d8,,,1500
Pike,,,WEAPON,COMMON,Martial Melee Weapons,,1d10,,heavy | reach | two-handed,500
Rapier,,,WEAPON,COMMON,Martial Melee Weapons,,1d8,,finesse,2500
Scimitar,,,WEAPON,COMMON,Martial Melee Weapons,,1d6,,finesse | light,2500
Shortsword,,,WEAPON,COMMON,Martial Melee Weapons,,1d6,,finesse | light,1000
Trident,trident,,WEAPON,COMMON,Martial Melee Weapons,,1d7,,thrown (range 20/60) | versatile (1d8),500
War pick,pick,,WEAPON,COMMON,Martial Melee Weapons,,1d8,,,500
Warhammer,hammer,,WEAPON,COMMON,Martial Melee Weapons,,1d8,,versatile (1d10),1500
Whip,,,WEAPON,COMMON,Martial Melee Weapons,,1d4,,finesse | reach,200
Blowgun,,,WEAPON,COMMON,Martial Ranged Weapons,,1,,ammunition (range 25/100) | loading,1000
Hand Crossbow,crossbow,,WEAPON,COMMON,Martial Ranged Weapons,,1d6,,ammunition (range 30/120) | light | loading,7500
Heavy Crossbow,crossbow,,WEAPON,COMMON,Martial Ranged Weapons,,1d10,,"ammunition (range 100/400) | heavy | loading, two-handed",5000
Longbow,bow,,WEAPON,COMMON,Martial Ranged Weapons,,1d8,,"ammunition (range 150/600) | heavy | loading, two-handed",5000
Net,net,"A Large or smaller creature hit by a net is restrained until it is freed. A net has no effect on creatures that are formless, or creatures that are Huge or larger. A creature can use its action to make a DC 10 Strength check, freeing itself or another creature within its reach on a success. Dealing 5 slashing damage to the net (AC 10) also frees the creature without harming it, ending the effect and destroying the net.<br /><br />When you use an action, bonus action, or reaction to attack with a net, you can make only one attack regardless of the number of attacks you can normally make. ",WEAPON,COMMON,Martial Ranged Weapons,,,,special | thrown (range 5/15),100
Arrows (20),arrows,,WEAPON,COMMON,,,,,,100
Blowgun Needles (50),,,WEAPON,COMMON,,,,,,100
Crossbow Bolts (20),bolts,,WEAPON,COMMON,,,,,,100
Sling Bullets (20),,,WEAPON,COMMON,,,,,,4
Abacus,,,ADVENTURING_GEAR,COMMON,,,,,,200
Acid (vial),,"As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage. ",ADVENTURING_GEAR,COMMON,,,,,,2500
Alchemist's Fire (flask),,"This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames. ",ADVENTURING_GEAR,COMMON,,,,,,5000
Antitoxin (vial),,A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs. ,ADVENTURING_GEAR,COMMON,,,,,,5000
"Arcane Focus, Crystal",,"An arcane focus is a special item–an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item–designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus. ",ADVENTURING_GEAR,COMMON,,,,,,1000
"Arcane Focus, Orb",,"An arcane focus is a special item–an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item–designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus. ",ADVENTURING_GEAR,COMMON,,,,,,2000
"Arcane Focus, Rod",,"An arcane focus is a special item–an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item–designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus. ",ADVENTURING_GEAR,COMMON,,,,,,1000
"Arcane Focus, Staff",staff,"An arcane focus is a special item–an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item–designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus. ",ADVENTURING_GEAR,COMMON,,,,,,500
"Arcane Focus, Wand",wand,"An arcane focus is a special item–an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item–designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus. ",ADVENTURING_GEAR,COMMON,,,,,,1000
Backpack,,"Capacity: 1 cubic foot/30 pounds of gear. You can also strap items, such as a bedroll or a coil of rope, to the outside of a backpack.",ADVENTURING_GEAR,COMMON,,,,,,200
Ball Bearings (bag of 1000),,"As an action, you can spill these tiny metal balls from their pouch to cover a level, square area that is 10 feet on a side. A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone. A creature moving through the area at half speed doesn't need to make the save. ",ADVENTURING_GEAR,COMMON,,,,,,100
Barrel,,"Capacity: 40 gallons liquid, 4 cubic feet solid",ADVENTURING_GEAR,COMMON,,,,,,200
Basket,,Capacity: 2 cubic feet/40 pounds of gear ,ADVENTURING_GEAR,COMMON,,,,,,40
Bedroll,,,ADVENTURING_GEAR,COMMON,,,,,,100
Bell,,,ADVENTURING_GEAR,COMMON,,,,,,100
Blanket,,,ADVENTURING_GEAR,COMMON,,,,,,50
